card1,card2,suited,UTG,MP1,MP2,MP3,HJ,CO,D,SB,BB
14,14,False,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise
14,13,True,Fold,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise
14,13,False,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise
14,12,True,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise,Raise
14,12,False,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise
14,11,True,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise,Raise
14,11,False,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise
14,10,True,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise
14,10,False,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise
14,9,True,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise
14,9,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
14,8,True,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise
14,8,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
14,7,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
14,7,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
14,6,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
14,6,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
14,5,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
14,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
14,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
14,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
14,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
14,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
14,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
14,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
13,13,False,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise
13,12,True,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise,Raise
13,12,False,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise
13,11,True,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise
13,11,False,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise
13,10,True,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise
13,10,False,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise
13,9,True,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise
13,9,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
13,8,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
13,8,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
13,7,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
13,7,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
13,6,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
13,6,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
13,5,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Raise
13,5,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
13,4,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
13,4,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
13,3,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
13,3,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
13,2,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
13,2,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Check
12,12,False,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise,Raise
12,11,True,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise,Raise
12,11,False,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise
12,10,True,Fold,Fold,Fold,Fold,Raise,Raise,Raise,Raise,Raise
12,10,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
12,9,True,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise,Raise
12,9,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
12,8,True,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Raise,Raise
12,8,False,Fold,Fold,Fold,Fold,Fold,Fold,Fold,Call,Check
